"CV-78K0R1","R20UT2140E","3.2.4","bit type variables"
"UB-STDARG1","CERT-C","DCL10-C",""
"UB-STDARG2","C11","7.16.1.4","3"
"UB-STDARG2","C11","J.2","1 item 142"
"UB-STDARG2","CERT-C","DCL10-C",""
"UB-STDARG3","C11","7.16.1.1","2"
"UB-STDARG3","C11","J.2","1 item 136"
"UB-STDARG3","CERT-C","DCL10-C",""
"UB-STDARG4","C11","7.16.1.2","2"
"UB-STDARG4","C11","J.2","1 item 136"
"UB-STDARG4","CERT-C","DCL10-C",""
"UB-STDARG5","C11","7.16.1.3","2"
"UB-STDARG5","C11","J.2","1 item 139"
"UB-STDARG5","CERT-C","DCL10-C",""
"UB-STDARG6","C11","7.16.1.1","2"
"UB-STDARG6","C11","J.2","1 item 141"
"UB-STDARG6","CERT-C","DCL10-C",""
"UB-STDARG6","CERT-C","EXP47-C",""
"UB-STDARG9","C11","7.16.1","1"
"UB-STDARG9","C11","J.2","1 item 139"
"UB-STDARG9","CERT-C","DCL10-C",""
"UB-STDIO1","C11","7.21.6.1","9"
"UB-STDIO1","C11","J.2","1 item 153"
"UB-STDIO1","CERT-C","FIO47-C",""
"UB-STDIO3","C11","7.21.6.10","2"
"UB-STDIO3","C11","J.2","1 item 169"
"UB-STDIO3","CERT-C","DCL10-C",""
"UB-STDIO4","C11","7.21.6.13","2"
"UB-STDIO4","C11","J.2","1 item 169"
"UB-STDIO4","CERT-C","DCL10-C",""
"UB-STDIO5","C11","7.21.6.12","2"
"UB-STDIO5","C11","J.2","1 item 169"
"UB-STDIO5","CERT-C","DCL10-C",""
"UB-STDIO6","C11","7.21.6.10","2"
"UB-STDIO6","C11","J.2","1 item 169"
"UB-STDIO6","CERT-C","DCL10-C",""
"UB-STDLIB1","C11","7.22.3.5","3"
"UB-STDLIB1","C11","J.2","1 item 179"
"UB-STDLIB1","CERT-C","MEM34-C",""
"UB-STDLIB2","C11","7.22.3.3","2"
"UB-STDLIB2","C11","J.2","1 item 179"
"UB-STDLIB2","CERT-C","MEM34-C",""
"UB-STDLIB4","C11","7.22.4.4","2"
"UB-STDLIB4","C11","J.2","1 item 182"
"UB-STDLIB4","CERT-C","ENV32-C",""
"UB-STDLIB4","CERT-C","ERR04-C",""
"UB-STDLIB5","C11","7.22.4.7","2"
"UB-STDLIB5","C11","J.2","1 item 182"
"UB-STDLIB5","CERT-C","ENV32-C",""
"UB-STDLIB5","CERT-C","ERR04-C",""
"UB-STRING1","C11","7.1.4","1"
"UB-STRING1","C11","J.2","1 item 109"
"UB-STRING1","CERT-C","ARR30-C",""
"UB-STRING1","CERT-C","ARR37-C",""
"UB-STRING1","CERT-C","ARR38-C",""
"UB-STRING1","CERT-C","EXP34-C",""
"UB-STRING1","CERT-C","STR31-C",""
"UB-TDG1","C11","6.7.3","9"
"UB-TDG1","C11","J.2","1 item 66"
"UB-TDG1","CERT-C","MSC15-C",""
"UB-TDG11","C11","6.2.2","7"
"UB-TDG11","C11","J.2","1 item 8"
"UB-TDG11","CERT-C","DCL36-C",""
"UB-TDG12","C11","6.9.2","3"
"UB-TDG12","C11","J.2","1 item 89"
"UB-TDG12","CERT-C","MSC15-C",""
"UB-TDG3","C11","6.7.1","7"
"UB-TDG3","C11","J.2","1 item 60"
"UB-TDG3","CERT-C","MSC15-C",""
"UB-TDG6","C11","6.7.6.3","10"
"UB-TDG6","C11","J.2","1 item 78"
"UB-TDG6","CERT-C","MSC15-C",""
"UB-TDG7","C11","6.7.6.3","10"
"UB-TDG7","C11","J.2","1 item 78"
"UB-TDG7","CERT-C","MSC15-C",""
"UB-TDL5","C11","6.7","7"
"UB-TDL5","C11","J.2","1 item 59"
"UB-TDL5","CERT-C","DCL31-C",""
"UB-TDR1","C11","6.7.4","7"
"UB-TDR1","C11","J.2","1 item 70"
"UB-TDR1","CERT-C","MSC15-C",""
"UB-TDR2","C11","6.9","5"
"UB-TDR2","C11","J.2","1 item 84"
"UB-TDR2","CERT-C","MSC15-C",""
"UB-TEAS4","C11","6.3.2.2","1"
"UB-TEAS4","C11","J.2","1 item 23"
"UB-TEAS4","CERT-C","MSC15-C",""
"UB-TEOFF1","C11","7.19","3"
"UB-TEOFF1","C11","J.2","1 item 144"
"UB-TEOFF1","CERT-C","MSC15-C",""
"UB-TIN1","C11","6.2.7","2"
"UB-TIN1","C11","J.2","1 item 15"
"UB-TIN1","CERT-C","DCL23-C",""
"UB-TIN1","CERT-C","DCL40-C",""
"UB-TIN2","C11","6.9","5"
"UB-TIN2","C11","J.2","1 item 84"
"UB-TIN2","CERT-C","MSC15-C",""
"UB-TTE1","C11","6.2.7","3"
"UB-TTE1","C11","J.2","1 item 16"
"UB-TTE1","CERT-C","MSC15-C",""
"USP-CEER6","C11","5.1.2.2.3","1"
"USP-CERL7","C11","6.5.9",""
"USP-CMR1","C11","6.2.6.1","1"
"USP-CMR1","C11","J.1","1 item 9"
"USP-CMR2","C11","6.2.6.1","1"
"USP-CMR2","C11","J.1","1 item 9"
"USP-ESS1","C11","6.8.4.2","5"
"USP-STDIO2","C11","7.21.6.1","8"
"USP-STDLIB3","C11","7.22.4.2","2"
"USP-STDLIB3","C11","J.1","1 item 44"
"USP-STDLIB6","C11","7.22.4.3","2"
"USP-STDLIB6","C11","J.1","1 item 45"
